GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
feria-emprendedores,com.feria.categorias,Comida,2,3,0,0,1,1,1,1,1,1
feria-emprendedores,com.feria.categorias,Ropa,5,0,0,0,2,0,2,0,2,0
feria-emprendedores,com.feria.categorias,Artesania,5,0,0,0,2,0,2,0,2,0
feria-emprendedores,com.feria.categorias,Tecnologia,5,0,0,0,2,0,2,0,2,0
feria-emprendedores,com.feria.categorias,Categoria,6,0,0,0,1,0,1,0,1,0
feria-emprendedores,com.feria.modelos,Venta,51,51,0,0,22,14,13,6,13,6
feria-emprendedores,com.feria.modelos,Emprendedor,161,73,11,3,42,21,21,8,14,8
feria-emprendedores,com.feria.modelos,Producto,26,46,0,4,9,12,6,7,6,5
feria-emprendedores,com.feria.descuentos,DescuentoPorMonto,0,13,0,2,0,4,0,3,0,2
feria-emprendedores,com.feria.descuentos,DescuentoPorCantidad,0,13,0,2,0,4,0,3,0,2
feria-emprendedores,com.feria.servicios,ServicioStock,7,0,0,0,3,0,2,0,2,0
feria-emprendedores,com.feria.servicios,GestorFeria,169,80,12,6,48,23,17,9,11,6
feria-emprendedores,com.feria.servicios,CalculadorDescuentos,3,42,0,2,1,6,1,3,1,2
feria-emprendedores,com.feria.servicios,GeneradorRecibos,18,0,0,0,7,0,2,0,2,0
feria-emprendedores,com.feria.servicios,Reportes,123,0,10,0,28,0,10,0,5,0
feria-emprendedores,com.feria,Main,175,0,0,0,22,0,2,0,2,0
feria-emprendedores,com.feria.utils,ProductoUtils,44,0,2,0,9,0,3,0,2,0
feria-emprendedores,com.feria.utils,Validadores,27,54,8,18,6,10,6,14,2,5
